Accession	Gene_name	Organism	Function	Subcellular_location	Length
A0A8B7VTS6	Vdac3	Castor canadensis	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	311
A0A8B7VTT7	Vdac3	Castor canadensis	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	310
A0A8B7WSD9	VDAC3	Microcebus murinus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8B8S260	VDAC3	Camelus ferus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8B8S3I2	VDAC3	Camelus ferus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	284
A0A8B8S3X6	VDAC3	Camelus ferus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	251
A0A8B8UVM6	MMM1	Saccharomyces paradoxus	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Endoplasmic reticulum membrane	426
A0A8B8UYP0	NA	Saccharomyces paradoxus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	309
A0A8B8UZJ5	MDM12	Saccharomyces paradoxus	Component of the ERMES/MDM complex, which serves as a molecular tether to connect the endoplasmic reticulum (ER) and mitochondria. Components of this complex are involved in the control of mitochondrial shape and protein biogenesis, and function in nonvesicular lipid trafficking between the ER and mitochondria. MDM12 is required for the interaction of the ER-resident membrane protein MMM1 and the outer mitochondrial membrane-resident beta-barrel protein MDM10. The MDM12-MMM1 subcomplex functions in the major beta-barrel assembly pathway that is responsible for biogenesis of all mitochondrial outer membrane beta-barrel proteins, and acts in a late step after the SAM complex. The MDM10-MDM12-MMM1 subcomplex further acts in the TOM40-specific pathway after the action of the MDM12-MMM1 complex. Essential for establishing and maintaining the structure of mitochondria and maintenance of mtDNA nucleoids	Membrane	271
A0A8B8VI04	TOMM20	Balaenoptera musculus	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	145
A0A8B8VZ74	TOMM40	Balaenoptera musculus	NA	Mitochondrion outer membrane	361
A0A8B8WC37	VDAC3	Balaenoptera musculus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8B8WE15	VDAC3	Balaenoptera musculus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	284
A0A8B8WEP6	LOC118888064	Balaenoptera musculus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	226
A0A8B8YKL2	LOC118902293	Balaenoptera musculus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8B9A054	LOC120107601	Phoenix dactylifera	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the translocation pore. Directly involved in the pore formation	Mitochondrion outer membrane	325
A0A8B9BAE6	VDAC3	Anser brachyrhynchus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8B9BXM5	VDAC2	Anser brachyrhynchus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8B9BYU3	VDAC2	Anser brachyrhynchus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	296
A0A8B9DHN6	NA	Anser cygnoides	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	284
A0A8B9E744	VDAC2	Anser cygnoides	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8B9E8J0	VDAC2	Anser cygnoides	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	296
A0A8B9F9E9	NA	Amazona collaria	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8B9FAR7	NA	Amazona collaria	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	288
A0A8B9FGB7	NA	Amazona collaria	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8B9GPY8	NA	Astyanax mexicanus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	260
A0A8B9GYJ1	NA	Astyanax mexicanus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	90
A0A8B9JH74	NA	Astyanax mexicanus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	121
A0A8B9JHI4	NA	Astyanax mexicanus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	129
A0A8B9L4I1	LOC103030645	Astyanax mexicanus	NA	Mitochondrion outer membrane	318
A0A8B9LCG9	LOC103037680	Astyanax mexicanus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	287
A0A8B9LHC9	LOC103037680	Astyanax mexicanus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	305
A0A8B9LHD2	LOC103037680	Astyanax mexicanus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	292
A0A8B9LHE1	LOC103037680	Astyanax mexicanus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	296
A0A8B9LZN4	NA	Accipiter nisus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	300
A0A8B9M0T3	NA	Accipiter nisus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	268
A0A8B9N2D3	NA	Accipiter nisus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8B9PC84	NA	Apteryx owenii	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	227
A0A8B9PE10	NA	Apteryx owenii	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	275
A0A8B9Q4L0	NA	Apteryx owenii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8B9R5J1	LOC113841418	Anas platyrhynchos	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	152
A0A8B9RYB5	NA	Accipiter nisus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	261
A0A8B9T595	VDAC3	Anas platyrhynchos	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	296
A0A8B9TFI7	VDAC2	Anas platyrhynchos	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	267
A0A8B9ULT1	NA	Anas zonorhyncha	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	296
A0A8B9V3A0	NA	Anas zonorhyncha	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	152
A0A8B9VXN5	NA	Anas zonorhyncha	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	265
A0A8B9WRZ7	NA	Bos mutus grunniens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	303
A0A8B9WS73	NA	Bos mutus grunniens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	302
A0A8B9WT35	NA	Bos mutus grunniens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	286
A0A8B9WTS6	NA	Bos mutus grunniens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	284
A0A8B9WVU0	NA	Bos mutus grunniens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	257
A0A8B9XXM1	TOMM20	Bos mutus grunniens	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	145
A0A8B9YP53	TOMM40	Bos mutus grunniens	NA	Mitochondrion outer membrane	380
A0A8B9YV63	NA	Bos mutus grunniens	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	163
A0A8B9ZI62	VDAC2	Anas platyrhynchos	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8C0AAK7	NA	Bos mutus grunniens	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	232
A0A8C0BN31	NA	Buteo japonicus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	261
A0A8C0D7P1	NA	Balaenoptera musculus	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	134
A0A8C0DL12	NA	Balaenoptera musculus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	111
A0A8C0DWU8	NA	Balaenoptera musculus	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	218
A0A8C0ELN2	NA	Bubo bubo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8C0F8K7	NA	Bubo bubo	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8C0HQ54	NA	Buteo japonicus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	269
A0A8C0HWX6	NA	Balaenoptera musculus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	100
A0A8C0HYR5	NA	Balaenoptera musculus	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	139
A0A8C0J5F9	VDAC3	Chelonoidis abingdonii	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8C0J859	VDAC2	Chelonoidis abingdonii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	297
A0A8C0J8G4	VDAC2	Chelonoidis abingdonii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	292
A0A8C0JA80	VDAC2	Chelonoidis abingdonii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	296
A0A8C0JPU2	VDAC3	Canis lupus dingo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8C0KTE1	NA	Canis lupus dingo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	145
A0A8C0L187	NA	Canis lupus dingo	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore. Required for the translocation across the mitochondrial outer membrane of cytochrome P450 monooxygenases	Mitochondrion outer membrane	104
A0A8C0LNV2	NA	Canis lupus dingo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	259
A0A8C0LQA9	LOC112654613	Canis lupus dingo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8C0MUG6	NA	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	304
A0A8C0NFQ4	NA	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	119
A0A8C0NNP8	NA	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	286
A0A8C0NVA9	NA	Canis lupus familiaris	NA	Mitochondrion outer membrane	436
A0A8C0NZF4	VDAC3	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	134
A0A8C0P3D0	VDAC3	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8C0Q760	VDAC3	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	284
A0A8C0QAT8	NA	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	269
A0A8C0QQV3	VDAC2	Chelonoidis abingdonii	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	292
A0A8C0QUK8	VDAC3	Canis lupus dingo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	100
A0A8C0QZT3	TOMM40	Canis lupus dingo	NA	Mitochondrion outer membrane	361
A0A8C0R318	NA	Canis lupus dingo	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	269
A0A8C0RAS4	TOMM40	Canis lupus familiaris	NA	Mitochondrion outer membrane	361
A0A8C0SHC8	NA	Canis lupus familiaris	NA	Mitochondrion outer membrane	356
A0A8C0SJI5	NA	Canis lupus familiaris	NA	Mitochondrion outer membrane	376
A0A8C0SK36	NA	Canis lupus familiaris	NA	Mitochondrion outer membrane	397
A0A8C0T7K3	NA	Canis lupus familiaris	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	105
A0A8C0UKU6	VDAC3	Cyanistes caeruleus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	324
A0A8C0UL82	VDAC3	Cyanistes caeruleus	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	283
A0A8C0UMZ1	VDAC2	Cyanistes caeruleus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	283
A0A8C0UPX3	VDAC2	Cyanistes caeruleus	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	318
A0A8C0VSS1	NA	Castor canadensis	NA	Mitochondrion outer membrane	97
A0A8C0WKE7	Vdac3	Castor canadensis	Non-selective voltage-gated ion channel that mediates the transport of anions and cations through the mitochondrion outer membrane and plasma membrane. Forms a high-conducting channel with a stable open state and a voltage-induced closure with a mild preference for anions over cations. Involved in male fertility and sperm mitochondrial sheath formation	Mitochondrion outer membrane	336
A0A8C0Y4V9	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	314
A0A8C0Y5Q8	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	280
A0A8C0Y687	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	293
A0A8C0Y6W2	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	292
A0A8C0Y7S0	NA	Cyprinus carpio carpio	Catalyzes the scrambling of phospholipids across the outer mitochondrial membrane; the mechanism is unrelated to channel activity and is capable of translocating both anionic and zwitterionic phospholipids	Mitochondrion outer membrane	315
